"ID","Series","Supplier","Date","Credit To","Grand Total","ID (Items)","Accepted Qty (Items)","Accepted Qty in Stock UOM (Items)","Amount (Items)","Amount (Company Currency) (Items)","Item Name (Items)","Rate (Items)","Rate (Company Currency) (Items)","UOM (Items)","UOM Conversion Factor (Items)","Item (Items)","Item Group (Items)","Payment Amount (Payment Schedule)"
"","","","","","","c75tl4pha0",2.0,2.0,1800.0,1800.0,"stand for ock",900.0,900.0,"Nos",1.0,"1817","Door Lock",""
"","","","","","","c75tmc6gr2",2.0,2.0,1120.0,1120.0,"I PLUG S60",560.0,560.0,"Nos",1.0,"1118","Switch",""
"","","","","","","c75t87fmab",3.0,3.0,21000.0,21000.0,"i17 cat eye",7000.0,7000.0,"No",1.0,"2626","Door Lock",""
"","","","","","","c75t3uqbi0",2.0,2.0,18000.0,18000.0,"Lezn R7 CAT EYE  Smart Door Lock",9000.0,9000.0,"No",1.0,"2502","Door Lock",""
"","","","","","","c75t67i04i",2.0,2.0,14400.0,14400.0,"PNDA i18 CAT EYE  Smart Door Lock",7200.0,7200.0,"No",1.0,"2625","Door Lock",""
"","","","","","","c75t6191o2",3.0,3.0,33000.0,33000.0,"Lezn i13 Face Version Smart Door Lock",11000.0,11000.0,"No",1.0,"2512","Door Lock",""
"","","","","","","c75tmlenu0",2.0,2.0,30100.0,30100.0,"Lezn i11 Face Version Smart Door Lock",15050.0,15050.0,"No",1.0,"2508","Door Lock",""
"","","","","","","c75t6op01a",1.0,1.0,17600.0,17600.0,"SMART HOME CONTROL PANEL+AMPLIFIER",17600.0,17600.0,"Nos",1.0,"1137","Sound System",""
"","","","","","","c75thbdr8f",1.0,1.0,4800.0,4800.0,"IP/TCP 1080P  V70MT- M4-HD",4800.0,4800.0,"No",1.0,"2116","Cam",""
"","","","","","","c75t34ft6e",1.0,1.0,2700.0,2700.0,"DOOR BELL/S31",2700.0,2700.0,"No",1.0,"1841","Cam",""
"","","","","","","c75t91unlg",1.0,1.0,200.0,200.0,"Trans Profile Slim 12.5 Amp",200.0,200.0,"No",1.0,"trans","Door Lock",""
"","","","","","","c75tb8sp4o",1.0,1.0,1850.0,1850.0,"WiFi Camera Skyworth 360 Panorama Outdoor 3MP FHD SKH-163D4H2-4AWT",1850.0,1850.0,"No",1.0,"LC2308","Cam",""
"","","","","","","c75t5sdt2r",1.0,1.0,850.0,850.0,"Skyworth H30 Indoor 3MP Smart Wireless Camera",850.0,850.0,"No",1.0,"LC2202","Cam",""
"","","","","","","c75tkqp0ht",1.0,1.0,2464.0,2464.0,"MASTER WALL AMPLIFIER MT-BA-425D 7*7(WHITE)",2464.0,2464.0,"No",1.0,"MT-BA-425D","Sound System",""
"","","","","","","c75tll697h",2.0,2.0,880.0,880.0,"7cm Despa speaker",440.0,440.0,"No",1.0,"DSP3011","Sound System",""
"","","","","","","c75tfpdh9k",2.0,2.0,862.4,862.4,"7cm Master Speaker",431.2,431.2,"No",1.0,"MT-CP-206LM","Sound System",""
"","","","","","","c75t8ffd4i",4.0,4.0,1232.0,1232.0,"18cm Master Speaker",308.0,308.0,"No",1.0,"MT-606LML","Sound System",""
"","","","","","","c75tngkn9a",1.0,1.0,1450.0,1450.0,"LEZN L03a-c1 lock FOR METAL DOOR",1450.0,1450.0,"No",1.0,"2402","Door Lock",""
"ACC-PINV-2025-00015","ACC-PINV-.YYYY.-","Wesam Ahmed وسام احمد اليكسا سمارت","2025-05-26","الدائنين - iHome",50690.0,"4bkprpp6ga",6.0,6.0,17994.0,17994.0,"ALEXA ECHO DOT",2999.0,2999.0,"Nos",1.0,"AED5","Alexa",50690.0
"","","","","","","4bkpjdpvla",6.0,6.0,13200.0,13200.0,"ALEXA ECHO POP",2200.0,2200.0,"Nos",1.0,"AEP","Alexa",""
"","","","","","","4bkp59q7e2",3.0,3.0,14997.0,14997.0,"ALEXA ECHO SHOW 5",4999.0,4999.0,"Nos",1.0,"AES5","Alexa",""
"","","","","","","4bkpv9kvve",1.0,1.0,4499.0,4499.0,"ALEXA Echo Spot",4499.0,4499.0,"Nos",1.0,"AES1","Alexa",""
"ACC-PINV-2025-00014","ACC-PINV-.YYYY.-","شركة الصالح","2025-05-18","الدائنين - iHome",13600.0,"91p16tkgem",3.0,3.0,4500.0,4500.0,"Sonoff GK-200MP",1500.0,1500.0,"Nos",1.0,"1065","Cam",13600.0
"","","","","","","91p1dejs04",10.0,10.0,9100.0,9100.0,"DUALR3 LITE",910.0,910.0,"Nos",1.0,"1124","Switch",""
"ACC-PINV-2025-00013","ACC-PINV-.YYYY.-","استيراد من الصين","2025-05-11","الدائنين - iHome",10100.0,"8lo01n5mtt",6.0,6.0,1740.0,1740.0,"Dw2 Wifi(no buttery)",290.0,290.0,"Nos",1.0,"1053","All Item",10100.0
"","","","","","","8lo07i1gra",2.0,2.0,990.0,990.0,"B05 - BL- A19",495.0,495.0,"Nos",1.0,"B05 - BL- A19","All Item",""
"","","","","","","8lo0vcl9mu",2.0,2.0,1250.0,1250.0,"Zigbee CC2531 USD Dongle",625.0,625.0,"Nos",1.0,"1064","Zigbee",""
"","","","","","","8lo07h7qbg",3.0,3.0,1860.0,1860.0,"PIR3-RF",620.0,620.0,"Nos",1.0,"1087","Sensor",""
"","","","","","","8lo0rlau29",3.0,3.0,2760.0,2760.0,"D1",920.0,920.0,"Nos",1.0,"1038","Switch",""
"","","","","","","8lo0c52420",3.0,3.0,1500.0,1500.0,"Rm433R2",500.0,500.0,"Nos",1.0,"1075","All Item",""
"ACC-PINV-2025-00012","ACC-PINV-.YYYY.-","استيراد من الصين","2025-05-10","الدائنين - iHome",9216.0,"fajjkbbgj5",2.0,2.0,1764.0,1764.0,"T2uS2c-TX",882.0,882.0,"Nos",1.0,"1004","Switch",9216.0
"","","","","","","fajje1geqp",2.0,2.0,1896.0,1896.0,"T2uS3c-TX",948.0,948.0,"Nos",1.0,"1005","Switch",""
"","","","","","","fajjuigl1t",2.0,2.0,1714.0,1714.0,"T3uS2c-TX",857.0,857.0,"Nos",1.0,"1010","Switch",""
"","","","","","","fajj8arsch",2.0,2.0,1842.0,1842.0,"T3uS3c-TX",921.0,921.0,"Nos",1.0,"1011","Switch",""
"","","","","","","fajj2ogh8o",1.0,1.0,1075.0,1075.0,"M5-3C-120",1075.0,1075.0,"Nos",1.0,"1017","Switch",""
"","","","","","","fajjfb9trp",1.0,1.0,925.0,925.0,"M5-1C-120",925.0,925.0,"Nos",1.0,"1015","Switch",""
"ACC-PINV-2025-00011","ACC-PINV-.YYYY.-","Sonoff","2025-04-06","الدائنين - iHome",29002.5,"794c24hgo1",1.0,1.0,5600.0,5600.0,"Lock Securit",5600.0,5600.0,"Nos",1.0,"2662","Door Lock",29002.0
"","","","","","","794c6mms65",1.0,1.0,5440.0,5440.0,"Lock Securit",5440.0,5440.0,"Nos",1.0,"2670","Door Lock",""
"","","","","","","794c8qk51m",10.0,10.0,10500.0,10500.0,"DUALR3 LITE",1050.0,1050.0,"Nos",1.0,"1124","Switch",""
"","","","","","","794cvhdttv",1.0,1.0,1500.0,1500.0,"Sonoff GK-200MP",1500.0,1500.0,"Nos",1.0,"1065","Cam",""
"","","","","","","794cc6vtrb",1.0,1.0,1312.5,1312.5,"S-CAM Slim GEN2",1312.5,1312.5,"Nos",1.0,"1125","Cam",""
"","","","","","","794ceeprat",1.0,1.0,2400.0,2400.0,"CIRCUIT BREAKER 63A-1P",2400.0,2400.0,"Nos",1.0,"2020","Power",""
"","","","","","","794code0j9",1.0,1.0,2250.0,2250.0,"Electric ValVe",2250.0,2250.0,"Nos",1.0,"3008","Sensor",""
"ACC-PINV-2025-00010","ACC-PINV-.YYYY.-","شركة الصالح","2025-05-10","الدائنين - iHome",9440.0,"24ejfttgh7",1.0,1.0,3040.0,3040.0,"NSPanel-USB",3040.0,3040.0,"Nos",1.0,"1112","Panal",9440.0
"","","","","","","24ej99qk49",1.0,1.0,6400.0,6400.0,"NSPanel-120PW",6400.0,6400.0,"Nos",1.0,"1122","Panal",""
"ACC-PINV-2025-00009","ACC-PINV-.YYYY.-","شركة الصالح","2025-05-10","الدائنين - iHome",650.0,"9rbr14n69n",5.0,5.0,650.0,650.0,"مراية قلب كالون",130.0,130.0,"Nos",1.0,"14418","Door Lock",650.0
"ACC-PINV-2025-00008","ACC-PINV-.YYYY.-","Sonoff","2024-12-29","الدائنين - iHome",46079.8,"e44b69t5s8",1.0,1.0,1760.0,1760.0,"T5-4C-120",1760.0,1760.0,"Nos",1.0,"1180","Switch",46080.0
"","","","","","","e44brq197f",1.0,1.0,1360.0,1360.0,"Tous3c-TX",1360.0,1360.0,"Nos",1.0,"1002","Switch",""
"","","","","","","e44bengrod",1.0,1.0,3040.0,3040.0,"NSPanel-USW",3040.0,3040.0,"Nos",1.0,"1103","Panal",""
"","","","","","","e44boqeusg",1.0,1.0,960.0,960.0,"Minir 4M",960.0,960.0,"Nos",1.0,"1200","Switch",""
"","","","","","","e44b6sohsb",1.0,1.0,640.0,640.0,"Mini R3",640.0,640.0,"Nos",1.0,"1029","Switch",""
"","","","","","","e44b894u84",1.0,1.0,1200.0,1200.0,"Dualr3",1200.0,1200.0,"Nos",1.0,"1079","Switch",""
"","","","","","","e44btntdk9",1.0,1.0,960.0,960.0,"Universal Remote",960.0,960.0,"Nos",1.0,"2006","Remote",""
"","","","","","","e44bos6bnk",1.0,1.0,960.0,960.0,"Gas Detector SenSor",960.0,960.0,"Nos",1.0,"3009","Sensor",""
"","","","","","","e44bkm5u75",1.0,1.0,2400.0,2400.0,"Electric ValVe",2400.0,2400.0,"Nos",1.0,"3008","Sensor",""
"","","","","","","e44b22ra7p",1.0,1.0,640.0,640.0,"Water Level Detector",640.0,640.0,"Nos",1.0,"6012","Sensor",""
"","","","","","","e44b46k2q3",1.0,1.0,1200.0,1200.0,"Powr320d",1200.0,1200.0,"Nos",1.0,"1032","Switch",""
